x,y,z
-0.029510498,-0.010498047,0.099975586
-0.08850098,-0.03149414,0.30004883
-0.14749146,-0.052505493,0.5
-0.1960144,-0.085494995,0.6999512
-0.23400879,-0.13049316,0.9000244
-0.27200317,-0.17550659,1.0999756
-0.30599976,-0.22200012,1.3000488
-0.33599854,-0.27000427,1.5
-0.3659973,-0.31799316,1.6999512
-0.3959961,-0.3659973,1.9000244
-0.42099,-0.40249634,2.0999756
-0.44100952,-0.4275055,2.3000488
-0.46099854,-0.4524994,2.5
-0.47351074,-0.48950195,2.6999512
-0.4784851,-0.5384979,2.9000244
-0.48349,-0.5874939,3.0999756
-0.48849487,-0.6365051,3.3000488
-0.48999023,-0.68899536,3.5
-0.4880066,-0.7449951,3.6999512
-0.48599243,-0.8009949,3.9000244
-0.4840088,-0.8569946,4.0999756
-0.48349,-0.9154968,4.300049
-0.48449707,-0.97650146,4.5
-0.48550415,-1.0375061,4.699951
-0.48651123,-1.0984955,4.9000244
-0.48849487,-1.1694946,5.0999756
-0.4914856,-1.2505035,5.300049
-0.49450684,-1.3314972,5.5
-0.49749756,-1.4125061,5.699951
-0.5004883,-1.4934998,5.9000244
-0.51501465,-1.5724945,6.0999756
-0.5409851,-1.6495056,6.300049
-0.5669861,-1.7265015,6.5
-0.59298706,-1.8034973,6.699951
-0.6239929,-1.8834991,6.9000244
-0.66000366,-1.966507,7.0999756
-0.6960144,-2.0494995,7.300049
-0.7319946,-2.1325073,7.5
-0.7749939,-2.2169952,7.699951
-0.8250122,-2.3029938,7.9000244
-0.875,-2.3890076,8.099976
-0.9249878,-2.475006,8.300049
-0.9720154,-2.5650024,8.5
-1.0159912,-2.6589966,8.699951
-1.0599976,-2.753006,8.900024
-1.1025085,-2.8269958,9.099976
-1.1434937,-2.8809967,9.300049
-1.1845093,-2.9349976,9.5
-1.2254944,-2.9889984,9.699951
-1.2680054,-3.0475006,9.900024
-1.3120117,-3.1105042,10.099976
-1.3559875,-3.1735077,10.300049
-1.3999939,-3.236496,10.5
-1.4379883,-3.2830048,10.699951
-1.4700012,-3.3130035,10.900024
-1.5020142,-3.3430023,11.099976
-1.5339966,-3.373001,11.300049
-1.556488,-3.4105072,11.5
-1.5694885,-3.4555054,11.699951
-1.582489,-3.5005035,11.900024
-1.5889893,-3.5444946,12.099976
-1.5889893,-3.587494,12.300049
-1.5889893,-3.6304932,12.5
-1.5929871,-3.6649933,12.699951
-1.6010132,-3.6909943,12.900024
-1.6004944,-3.6990051,13.099976
-1.5914917,-3.6889954,13.300049
-1.5815125,-3.6654968,13.5
-1.5704956,-3.6284943,13.699951
-1.5595093,-3.591507,13.900024
-1.5419922,-3.5704956,14.099976
-1.5434875,-3.5420074,14.300049
-1.5704956,-3.4900055,14.5
-1.5975037,-3.4380035,14.699951
-1.6245117,-3.3860016,14.900024
-1.6514893,-3.3339996,15.099976
-1.6730042,-3.3099976,15.300049
-1.6889954,-3.3139954,15.5
-1.7049866,-3.3180084,15.699951
-1.7210083,-3.3220062,15.900024
-1.739502,-3.3764954,16.099976
-1.760498,-3.4815063,16.300049
-1.7814941,-3.586502,16.5
-1.8024902,-3.6914978,16.699951
-1.8234863,-3.7965088,16.900024
-1.8670044,-3.8515015,17.099976
-1.9330139,-3.8565063,17.300049
-1.989502,-3.8805084,17.5
-2.036499,-3.9235077,17.699951
-2.088501,-3.9765015,17.900024
-2.1474915,-4.0345,18.099976
-2.208496,-4.087494,18.300049
-2.2695007,-4.140503,18.5
-2.3305054,-4.1934967,18.699951
-2.3890076,-4.2664948,18.900024
-2.4450073,-4.359497,19.099976
-2.493988,-4.4329987,19.300049
-2.5360107,-4.4869995,19.5
-2.578003,-4.5410004,19.699951
-2.619995,-4.595001,19.900024
-2.662506,-4.6555023,20.099976
-2.7055054,-4.7225037,20.300049
-2.7485046,-4.789505,20.5
-2.791504,-4.8565063,20.699951
-2.837494,-4.9069977,20.900024
-2.8865051,-4.9409943,21.099976
-2.9354858,-4.975006,21.299927
-2.984497,-5.0090027,21.5
-3.0335083,-5.0429993,21.699951
-3.0759888,-5.0794983,21.900024
-3.1119995,-5.1184998,22.099976
-3.1480103,-5.157501,22.299927
-3.1870117,-5.2005005,22.5
-3.229004,-5.2474976,22.699951
-3.269989,-5.2879944,22.900024
-3.3105164,-5.348007,23.099976
-3.3515015,-5.4340057,23.299927
-3.401001,-5.5305023,23.5
-3.459015,-5.637497,23.699951
-3.5169983,-5.744507,23.900024
-3.5725098,-5.8305054,24.099976
-3.6254883,-5.895508,24.299927
-3.682495,-5.9485016,24.5
-3.7434998,-5.989502,24.699951
-3.8005066,-6.0514984,24.900024
-3.8535156,-6.134506,25.099976
-3.9064941,-6.217499,25.299927
-3.963501,-6.2830048,25.5
-4.0245056,-6.331009,25.699951
-4.076996,-6.3735046,25.900024
-4.121002,-6.410507,26.099976
-4.1650085,-6.44751,26.299927
-4.209503,-6.481003,26.5
