x,y,z
0.016998291,0.035995483,0.03552246
0.050994873,0.10800171,0.10644531
0.084991455,0.17999268,0.17749023
0.116485596,0.25050354,0.24194336
0.14550781,0.31950378,0.30004883
0.17449951,0.38850403,0.35803223
0.20349121,0.45750427,0.41601562
0.23251343,0.5265045,0.47399902
0.26150513,0.59550476,0.5319824
0.28851318,0.6605072,0.58654785
0.31350708,0.7214966,0.6374512
0.33850098,0.7825012,0.68847656
0.36349487,0.84350586,0.73950195
0.38848877,0.90449524,0.79052734
0.4165039,0.96499634,0.8425293
0.44750977,1.0249939,0.8955078
0.4784851,1.0850067,0.9484863
0.50949097,1.1450043,1.0014648
0.5404968,1.2050018,1.0544434
0.5715027,1.2649994,1.107544
0.60250854,1.324997,1.1605225
0.6375122,1.371994,1.1960449
0.6765137,1.4060059,1.2139893
0.71551514,1.4400024,1.2320557
0.7544861,1.473999,1.25
0.78149414,1.5269928,1.30896
0.7965088,1.598999,1.4090576
0.8114929,1.6710052,1.5090332
0.82650757,1.7429962,1.6090088
0.8414917,1.8150024,1.7089844
0.85650635,1.8869934,1.80896
0.8714905,1.9589996,1.9090576
0.8859863,2.0359955,1.993042
0.8999939,2.1179962,2.0610352
0.91400146,2.199997,2.1290283
0.92800903,2.2819977,2.1970215
0.9410095,2.3695068,2.2755127
0.9530029,2.462494,2.364502
0.96499634,2.5554962,2.4534912
0.97698975,2.6484985,2.5424805
0.9890137,2.7415009,2.6314697
1.0010071,2.8345032,2.720459
1.0130005,2.9275055,2.8094482
1.026001,3.0204926,2.8879395
1.0400085,3.1134949,2.9560547
1.0539856,3.2064972,3.0240479
1.0679932,3.2994995,3.092041
1.0820007,3.3925018,3.1600342
1.0954895,3.4794922,3.2285156
1.10849,3.560501,3.2974854
1.1214905,3.6414948,3.366455
1.1359863,3.7234955,3.4329834
1.1530151,3.8025055,3.4954834
1.17099,3.8775024,3.5565186
1.1910095,3.949997,3.6125488
1.2130127,4.0200043,3.6634521
1.2349854,4.0899963,3.7144775
1.2569885,4.1600037,3.765503
1.2789917,4.2299957,3.8165283
1.3009949,4.300003,3.8675537
1.3200073,4.347992,3.9394531
1.338501,4.3825073,4.0284424
1.3594971,4.4255066,4.1135254
1.3804932,4.468506,4.1984863
1.3989868,4.505005,4.289551
1.4150085,4.5350037,4.3864746
1.4309998,4.5650024,4.4835205
1.446991,4.595001,4.5804443
1.4609985,4.619995,4.6810303
1.4735107,4.6284943,4.7769775
1.4859924,4.623001,4.8690186
1.4934998,4.6159973,4.9639893
1.4970093,4.595001,5.05896
1.4970093,4.558502,5.159546
1.493988,4.5034943,5.2435303
1.4920044,4.430496,5.3065186
1.4899902,4.357498,5.369507
1.4914856,4.2910004,5.4294434
1.4964905,4.231003,5.48645
1.5014954,4.1710052,5.543457
1.5065002,4.1109924,5.600464
1.5115051,4.050995,5.6574707
1.51651,3.9909973,5.7144775
1.5215149,3.9309998,5.7714844
1.519989,3.852005,5.833496
1.5119934,3.7539978,5.9005127
1.5039978,3.6560059,5.9675293
1.4960022,3.5579987,6.034546
1.4880066,3.4599915,6.1014404
1.4295044,3.387497,6.1450195
1.3569946,3.3535004,6.139038
1.3210144,3.3325043,6.1070557
1.2850037,3.311493,6.074951
1.2489929,3.2904968,6.0429688
1.2374878,3.2380066,6.0584717
1.2504883,3.1539917,6.12146
1.2634888,3.069992,6.1844482
1.2764893,2.9859924,6.2474365
1.2894897,2.9019928,6.310547
1.3024902,2.8179932,6.373535
1.3009949,2.7704926,6.4074707
1.2850037,2.7595062,6.4124756
1.2380066,2.7299957,6.4294434
1.1600037,2.6820068,6.458496
1.0820007,2.6340027,6.487549
1.0039978,2.5859985,6.5164795
0.9259949,2.5379944,6.545532
0.86550903,2.5214996,6.5634766
0.82250977,2.536499,6.5705566
0.7795105,2.5514984,6.5775146
0.73651123,2.5664978,6.5844727
0.69351196,2.5814972,6.5915527
0.6759949,2.6035004,6.6030273
0.6799927,2.6179962,6.610962
