x,y,z
0.020507812,0.03149414,0.026977539
0.06149292,0.09449768,0.08105469
0.10101318,0.15100098,0.14648438
0.13900757,0.20100403,0.22351074
0.17700195,0.25100708,0.3005371
0.21499634,0.30400085,0.375
0.25299072,0.3600006,0.44702148
0.2909851,0.41600037,0.51904297
0.32901,0.46899414,0.59350586
0.3670044,0.5189972,0.6705322
0.40499878,0.56900024,0.7475586
0.44500732,0.6170044,0.82250977
0.4874878,0.6694946,0.89294434
0.53201294,0.7290039,0.9610596
0.5780029,0.78900146,1.0290527
0.6239929,0.848999,1.0970459
0.66799927,0.9029999,1.1695557
0.70999146,0.951004,1.24646
0.75201416,0.9989929,1.3234863
0.79400635,1.0469971,1.4005127
0.8370056,1.0964966,1.4775391
0.88101196,1.1475067,1.5544434
0.9249878,1.1985016,1.6314697
0.96951294,1.2485046,1.7084961
1.0144958,1.2975006,1.7855225
1.0595093,1.3464966,1.8625488
1.1040039,1.3939972,1.9394531
1.1480103,1.4400024,2.0164795
1.1919861,1.4859924,2.0935059
1.2365112,1.5319977,2.1705322
1.2814941,1.5780029,2.2475586
1.3265076,1.6239929,2.324463
1.3720093,1.6685028,2.4000244
1.4179993,1.7115021,2.473999
1.4639893,1.7545013,2.5479736
1.5100098,1.7975006,2.6219482
1.5559998,1.8404999,2.696045
1.6019897,1.8834991,2.7664795
1.6480103,1.9264984,2.833496
1.6940002,1.9694977,2.9005127
1.7390137,2.0144958,2.9594727
1.7829895,2.061493,3.010498
1.8269958,2.1085052,3.0615234
1.8659973,2.1880035,3.0854492
1.8999939,2.300003,3.0825195
1.9339905,2.4120026,3.0794678
1.9679871,2.524002,3.076538
1.973999,2.6224976,3.119995
1.9519958,2.7075043,3.209961
1.9299927,2.7924957,3.3000488
1.9079895,2.8775024,3.3900146
1.8859863,2.962494,3.4799805
1.8659973,3.0140076,3.5875244
1.847992,3.0319977,3.7125244
1.8299866,3.050003,3.8375244
1.8059998,3.0399933,4.0
1.776001,3.001999,4.199951
1.7460022,2.9640045,4.4000244
1.7160034,2.9259949,4.5999756
1.7084961,2.876007,4.7469482
1.7235107,2.8139954,4.8409424
1.7384949,2.751999,4.9350586
1.7535095,2.6900024,5.0290527
1.7779846,2.6535034,5.089966
1.8120117,2.6425018,5.118042
1.8460083,2.6315002,5.145996
1.8680115,2.6670074,5.1899414
1.8779907,2.748993,5.25
1.8880005,2.8309937,5.3100586
1.8999939,2.8950043,5.385498
1.9140015,2.9409943,5.4764404
1.928009,2.9869995,5.567505
1.9444885,2.9965057,5.6679688
1.963501,2.9694977,5.777954
1.9825134,2.942505,5.8879395
2.0014954,2.9154968,5.998047
2.0205078,2.888504,6.108032
2.0400085,2.854004,6.218506
2.0599976,2.8119965,6.329468
2.0805054,2.7714996,6.438965
2.1015015,2.7324982,6.546997
2.1124878,2.736496,6.649048
2.1134949,2.783493,6.744995
2.1210022,2.8450012,6.829468
2.1350098,2.9210052,6.902466
2.1489868,2.996994,6.975464
2.167511,3.0820007,7.0290527
2.1904907,3.1759949,7.0629883
2.213501,3.2700043,7.097046
2.2365112,3.3639984,7.1309814
2.255005,3.4309998,7.196533
2.2690125,3.470993,7.293457
2.2714844,3.4920044,7.395508
2.2625122,3.4940033,7.5024414
2.2535095,3.4960022,7.609497
2.2445068,3.498001,7.7165527
2.230011,3.4855042,7.8585205
2.2099915,3.458496,8.035522
2.197998,3.4210052,8.198486
2.1940002,3.373001,8.347534
2.1900024,3.324997,8.49646
2.2000122,3.2814941,8.602051
2.223999,3.242508,8.6640625
2.255005,3.2160034,8.712036
2.2929993,3.2019958,8.745972
2.3309937,3.1880035,8.780029
2.3664856,3.1730042,8.821045
2.3995056,3.1569977,8.869019
2.432495,3.1410065,8.916992
2.4570007,3.1370087,8.977539
2.472992,3.1450043,9.050537
2.4890137,3.1529999,9.123535
2.505005,3.1609955,9.196533
2.520996,3.1690063,9.269531
2.5344849,3.175003,9.363525
2.5455017,3.1790009,9.478516
2.556488,3.1829987,9.593506
2.570984,3.1829987,9.708008
2.5889893,3.1790009,9.8220215
2.6069946,3.175003,9.936035
2.625,3.1710052,10.050049
2.64151,3.1795044,10.16748
2.6564941,3.2005005,10.288452
2.6715088,3.2214966,10.409546
2.6860046,3.2539978,10.530029
2.7000122,3.2980042,10.650024
2.7139893,3.3419952,10.77002
2.7279968,3.3860016,10.890015
2.7420044,3.430008,11.01001
2.7590027,3.4795074,11.116943
2.7789917,3.5345001,11.21106
2.7990112,3.589508,11.305054
2.82901,3.6390076,11.385986
2.868988,3.6829987,11.4539795
2.9089966,3.727005,11.521973
2.95401,3.768509,11.571533
3.0039978,3.807495,11.602539
3.0505066,3.8404999,11.643066
3.0935059,3.867508,11.692993
3.1365051,3.8945007,11.743042
3.177002,3.9185028,11.786499
3.2149963,3.939499,11.823486
3.2529907,3.960495,11.860474
3.2730103,3.992508,11.933472
3.274994,4.035507,12.04248
3.277008,4.0785065,12.151489
3.2789917,4.1215057,12.260498
3.277008,4.1515045,12.375977
3.270996,4.168503,12.498047
3.2649841,4.185501,12.619995
3.2485046,4.189499,12.766968
3.2214966,4.180496,12.938965
3.1944885,4.171509,13.110962
3.167511,4.162506,13.282959
3.140503,4.1535034,13.454956
3.1159973,4.1340027,13.609009
3.0939941,4.104004,13.744995
3.0839844,4.0610046,13.864014
3.0859985,4.005005,13.966064
3.0880127,3.9490051,14.067993
3.0899963,3.8930054,14.170044
3.1025085,3.831009,14.265503
3.1254883,3.7630005,14.354492
3.1484985,3.6950073,14.443481
3.171997,3.6334991,14.525024
3.195984,3.5785065,14.598999
3.2200012,3.5234985,14.672974
3.2479858,3.479004,14.729492
3.2799988,3.4450073,14.768555
3.3120117,3.4109955,14.807495
3.3439941,3.376999,14.846558
3.3745117,3.3505096,14.8845215
3.4035034,3.3314972,14.921509
3.432495,3.3125,14.958496
3.4500122,3.3040009,15.024048
3.4559937,3.3059998,15.118042
3.4620056,3.3079987,15.212036
3.467987,3.3099976,15.30603
3.472992,3.3285065,15.399048
3.4769897,3.3635101,15.490967
3.4809875,3.3984985,15.583008
3.4865112,3.4170074,15.69104
3.4934998,3.4190063,15.815063
3.5,3.4275055,15.946045
3.506012,3.442505,16.083984
3.5119934,3.4575043,16.222046
3.5150146,3.4795074,16.365967
3.5150146,3.5084991,16.515991
3.5150146,3.537506,16.666016
3.5150146,3.5664978,16.81604
3.5190125,3.605011,16.958984
3.527008,3.6529999,17.09497
3.5350037,3.701004,17.230957
3.5429993,3.7490082,17.367065
3.561493,3.7965088,17.47754
3.5905151,3.8435059,17.5625
3.6195068,3.890503,17.64746
3.6579895,3.9315033,17.712036
3.7059937,3.966507,17.755981
3.7539978,4.0015106,17.800049
3.8070068,4.0319977,17.837036
3.8649902,4.0579987,17.867065
3.9230042,4.0839996,17.896973
3.9809875,4.1100006,17.927002
4.0360107,4.1410065,17.947998
4.0880127,4.177002,17.95996
4.1400146,4.2130127,17.972046
4.1755066,4.2669983,17.99707
4.1944885,4.3390045,18.035034
4.1900024,4.4025116,18.113037
4.1619873,4.4575043,18.230957
4.1340027,4.512512,18.348999
4.1059875,4.567505,18.467041
4.0700073,4.5995026,18.601074
4.026001,4.6085052,18.750977
3.9819946,4.617508,18.901001
3.933014,4.6080017,19.07251
3.8789978,4.580002,19.265503
3.8250122,4.552002,19.458496
3.7785034,4.5015106,19.626465
3.739502,4.4284973,19.769531
3.7189941,4.339508,19.896484
3.7170105,4.234497,20.007568
3.7149963,4.1295013,20.11853
3.719513,4.0330048,20.20105
3.7304993,3.9450073,20.255005
3.7414856,3.85701,20.30896
3.7575073,3.7900085,20.343506
3.7785034,3.7440033,20.35852
3.7994995,3.697998,20.373535
3.8204956,3.652008,20.38855
3.8370056,3.6165009,20.39746
3.848999,3.591507,20.400513
3.8609924,3.5664978,20.403564
3.8580017,3.5599976,20.45398
3.8399963,3.5720062,20.552002
3.821991,3.5839996,20.650024
3.802002,3.6119995,20.764038
3.7799988,3.6560059,20.894043
3.7579956,3.7000122,21.024048
3.7409973,3.7130127,21.172974
3.729004,3.6950073,21.341064
3.7170105,3.677002,21.509033
3.7005005,3.6735077,21.692993
3.6795044,3.6845093,21.892944
3.6585083,3.6955109,22.093018
3.649994,3.730011,22.254517
3.6539917,3.7880096,22.377563
3.6579895,3.8460083,22.500488
3.6619873,3.904007,22.623535
3.6870117,3.95401,22.702515
3.7330017,3.9960022,22.737549
3.7844849,4.029999,22.775024
3.8414917,4.0559998,22.814941
3.8984985,4.0820007,22.85498
3.9555054,4.102005,22.883057
4.012512,4.1160126,22.899048
4.0694885,4.130005,22.91504
4.1174927,4.1595,22.923462
4.156494,4.2044983,22.92456
4.1954956,4.2495117,22.925537
4.212494,4.277008,22.96399
4.207489,4.2870026,23.04004
4.202484,4.2970123,23.115967
4.1809998,4.315506,23.237549
4.1430054,4.342499,23.404541
4.105011,4.369507,23.571533
