x,y,z
0.016998291,-0.019500732,0.099975586
0.049987793,-0.06399536,0.30004883
0.08248901,-0.1000061,0.5
0.11550903,-0.12199402,0.6999512
0.14849854,-0.14399719,0.9000244
0.18701172,-0.17250061,1.0999756
0.23098755,-0.20750427,1.3000488
0.27301025,-0.23950195,1.5
0.31399536,-0.2689972,1.6999512
0.3590088,-0.30749512,1.9000244
0.40899658,-0.34500122,2.0999756
0.457489,-0.3809967,2.3000488
0.50250244,-0.42500305,2.5
0.54748535,-0.46899414,2.6999512
0.59350586,-0.51449585,2.9000244
0.6405029,-0.5614929,3.0999756
0.6875,-0.6040039,3.3000488
0.7344971,-0.6419983,3.5
0.78100586,-0.68099976,3.6999512
0.8294983,-0.723999,3.9000244
0.88049316,-0.7700043,4.0999756
0.93148804,-0.81599426,4.300049
0.9819946,-0.83799744,4.5
1.0320129,-0.83599854,4.699951
1.0820007,-0.83399963,4.9000244
1.1319885,-0.83200073,5.0999756
1.1694946,-0.81399536,5.300049
1.1944885,-0.7799988,5.5
1.2195129,-0.7460022,5.699951
1.2445068,-0.7120056,5.9000244
1.2695007,-0.6779938,6.0999756
1.2814941,-0.64349365,6.300049
1.2804871,-0.60850525,6.5
1.2795105,-0.5735016,6.699951
1.2644958,-0.57699585,6.9000244
1.2355042,-0.6190033,7.0999756
1.2065125,-0.6609955,7.300049
1.1774902,-0.7030029,7.5
1.1484985,-0.7449951,7.699951
1.1195068,-0.78700256,7.9000244
1.1080017,-0.8500061,8.099976
1.1275024,-0.9324951,8.300049
1.152008,-0.98599243,8.5
1.1579895,-0.98350525,8.699951
1.1539917,-0.9524994,8.900024
1.1424866,-0.9450073,9.099976
1.118988,-0.95399475,9.300049
1.0910034,-0.95599365,9.5
1.0614929,-0.96899414,9.699951
1.0264893,-0.9869995,9.900024
0.9874878,-0.9989929,10.099976
0.9630127,-1.0160065,10.300049
0.9530029,-1.0379944,10.5
0.9620056,-1.0514984,10.699951
0.98999023,-1.0565033,10.900024
1.0180054,-1.0614929,11.099976
1.04599,-1.0664978,11.300049
1.0740051,-1.0715027,11.5
1.1019897,-1.0765076,11.699951
1.1440125,-1.0664978,11.900024
1.2000122,-1.0415039,12.099976
1.256012,-1.0164948,12.300049
1.3070068,-1.0059967,12.5
1.3529968,-1.0099945,12.699951
1.3989868,-1.0140076,12.900024
1.4450073,-1.0180054,13.099976
1.4909973,-1.0220032,13.300049
1.5280151,-1.0325012,13.5
1.5559998,-1.0494995,13.699951
1.5840149,-1.0664978,13.900024
1.6119995,-1.0834961,14.099976
1.6260071,-1.111496,14.300049
1.6220093,-1.1595001,14.5
1.6124878,-1.2149963,14.699951
1.5954895,-1.2610016,14.900024
1.5710144,-1.3285065,15.099976
1.5539856,-1.4400024,15.300049
1.54599,-1.5659943,15.5
1.5469971,-1.6670074,15.699951
1.5570068,-1.7429962,15.900024
1.5710144,-1.7955017,16.099976
1.5679932,-1.7984924,16.300049
1.5440063,-1.7754974,16.5
1.5310059,-1.7615051,16.699951
1.5289917,-1.7565002,16.900024
1.526001,-1.7644958,17.099976
1.510498,-1.7994995,17.300049
1.48349,-1.8484955,17.5
1.4559937,-1.8860016,17.699951
1.428009,-1.9120026,17.900024
1.3999939,-1.9380035,18.099976
1.3720093,-1.9640045,18.300049
1.3330078,-1.9819946,18.5
1.2829895,-1.9920044,18.699951
1.2330017,-2.001999,18.900024
1.1830139,-2.0119934,19.099976
1.1470032,-1.9844971,19.300049
1.125,-1.9194946,19.5
1.1149902,-1.8724976,19.699951
1.1170044,-1.8435059,19.900024
1.1430054,-1.8204956,20.099976
1.1919861,-1.809494,20.300049
1.2380066,-1.8025055,20.5
1.2820129,-1.7935028,20.699951
1.3275146,-1.789505,20.900024
1.3640137,-1.7599945,21.099976
1.3900146,-1.699997,21.299927
1.4160156,-1.6399994,21.5
1.447998,-1.5865021,21.699951
1.4859924,-1.539505,21.900024
1.5239868,-1.4924927,22.099976
1.5610046,-1.4315033,22.299927
1.5970154,-1.3565063,22.5
1.6329956,-1.2814941,22.699951
1.6690063,-1.2064972,22.900024
1.7080078,-1.1255035,23.099976
1.75,-1.0384979,23.299927
1.7919922,-0.95150757,23.5
1.8315125,-0.8580017,23.699951
1.8684998,-0.7579956,23.900024
1.9054871,-0.65800476,24.099976
1.9425049,-0.55799866,24.299927
1.9794922,-0.4580078,24.5
2.0125122,-0.33799744,24.699951
2.041504,-0.19799805,24.900024
2.0704956,-0.057998657,25.099976
2.104004,0.057998657,25.299927
2.1419983,0.1499939,25.5
2.1799927,0.2420044,25.699951
2.217987,0.33399963,25.900024
2.256012,0.42599487,26.099976
2.292511,0.5285034,26.299927
2.3284912,0.628006,26.5
2.368988,0.7055054,26.699951
2.4089966,0.7924957,26.900024
2.446991,0.8899994,27.099976
2.4869995,0.9799957,27.299927
2.527008,1.0699921,27.5
2.566986,1.1600037,27.699951
2.6065063,1.2619934,27.900024
2.6455078,1.3760071,28.099976
2.6835022,1.4830017,28.299927
2.7204895,1.5829926,28.5
2.7575073,1.6829987,28.699951
2.7944946,1.7830048,28.900024
2.8355103,1.8735046,29.099976
2.8804932,1.9544983,29.299927
2.9289856,2.0195007,29.5
2.9809875,2.0684967,29.699951
3.0329895,2.1174927,29.900024
3.0849915,2.166504,30.099976
3.134491,2.2355042,30.299927
3.181488,2.3244934,30.5
3.2285156,2.413498,30.699951
3.2774963,2.4830017,30.900024
3.3284912,2.5330048,31.099976
3.379486,2.5829926,31.299927
3.4305115,2.6329956,31.5
3.4815063,2.6829987,31.699951
3.530487,2.748001,31.900024
3.5775146,2.828003,32.099976
3.6245117,2.9080048,32.299927
3.6700134,2.975998,32.5
3.7139893,3.0319977,32.69995
3.7579956,3.0879974,32.900024
3.802002,3.1439972,33.099976
3.8504944,3.2024994,33.299927
3.9035034,3.263504,33.5
3.9565125,3.3244934,33.69995
4.01001,3.3829956,33.900024
4.0639954,3.4389954,34.099976
4.1180115,3.494995,34.299927
4.1744995,3.5505066,34.5
4.23349,3.6054993,34.69995
4.292511,3.660492,34.900024
4.3515015,3.7154999,35.099976
4.401001,3.7584991,35.299927
4.4410095,3.789505,35.5
4.4809875,3.8204956,35.69995
4.520996,3.8515015,35.900024
4.5610046,3.882492,36.099976
4.6214905,3.9004974,36.299927
4.7025146,3.9055023,36.5
4.7835083,3.910492,36.69995
4.864502,3.9154968,36.900024
4.9299927,3.9169922,37.099976
4.980011,3.9149933,37.299927
5.029999,3.9129944,37.5
5.078003,3.8974915,37.69995
5.123993,3.8684998,37.900024
5.1700134,3.8394928,38.099976
5.2160034,3.810501,38.299927
5.2619934,3.7814941,38.5
5.3059998,3.7545013,38.69995
5.347992,3.7294922,38.900024
5.3900146,3.7044983,39.099976
5.4339905,3.660492,39.299927
5.480011,3.5975037,39.5
5.526001,3.5345001,39.69995
5.575989,3.4654999,39.900024
5.630005,3.390503,40.099976
5.6839905,3.315506,40.299927
5.7409973,3.2339935,40.5
5.800995,3.145996,40.69995
5.8609924,3.0579987,40.900024
5.9179993,2.9799957,41.099976
5.971985,2.9120026,41.299927
6.023987,2.847992,41.5
6.074005,2.7879944,41.69995
6.123993,2.7279968,41.900024
6.175995,2.6730042,42.099976
6.230011,2.623001,42.299927
6.2839966,2.572998,42.5
6.3420105,2.524002,42.69995
6.4039917,2.475998,42.900024
6.4599915,2.440506,43.099976
6.51001,2.4174957,43.299927
6.5599976,2.3945007,43.5
6.6099854,2.3715057,43.69995
6.6640015,2.362503,43.900024
6.721985,2.3674927,44.099976
6.76001,2.3544922,44.299927
6.778015,2.3235016,44.5
6.79599,2.2924957,44.69995
6.7994995,2.2675018,44.900024
6.788513,2.2485046,45.099976
6.7774963,2.2294922,45.299927
6.76651,2.210495,45.5
6.746002,2.1914978,45.69995
6.7160034,2.1725006,45.899902
6.6860046,2.1535034,46.099976
6.656006,2.1345062,46.299927
6.6325073,2.1204987,46.5
6.615509,2.111496,46.69995
6.5985107,2.1024933,46.900024
6.5859985,2.0955048,47.099976
6.578003,2.0904999,47.299927
6.5700073,2.085495,47.5
6.5494995,2.0769958,47.69995
6.51651,2.0650024,47.899902
6.48349,2.0529938,48.099976
6.449005,2.0254974,48.299927
6.4129944,1.9824982,48.5
6.377014,1.9394989,48.69995
6.3370056,1.8860016,48.899902
6.2929993,1.8220062,49.099976
6.248993,1.7579956,49.299927
6.200989,1.6864929,49.5
6.148987,1.6074982,49.69995
6.096985,1.5285034,49.899902
6.0484924,1.460495,50.099976
6.0035095,1.4035034,50.299927
5.958496,1.3464966,50.5
5.913513,1.289505,50.69995
5.89151,1.2265015,50.899902
5.8924866,1.1575012,51.099976
5.8859863,1.0859985,51.299927
5.8720093,1.0119934,51.5
5.8580017,0.93800354,51.69995
5.843994,0.8639984,51.899902
5.8309937,0.78149414,52.099976
5.8190002,0.690506,52.299927
5.807007,0.59950256,52.5
5.791992,0.503006,52.69995
5.773987,0.40100098,52.899902
5.756012,0.29899597,53.099976
5.73349,0.21549988,53.299927
5.7065125,0.15049744,53.5
5.6795044,0.085494995,53.69995
5.656494,-0.011993408,53.899902
5.637512,-0.14199829,54.099976
5.629486,-0.25100708,54.299927
5.6325073,-0.33900452,54.5
5.635498,-0.42700195,54.69995
5.638489,-0.5149994,54.899902
5.6440125,-0.57099915,55.099976
5.652008,-0.5950012,55.299927
5.6579895,-0.63949585,55.5
5.6619873,-0.7044983,55.69995
5.6845093,-0.73550415,55.899902
5.7254944,-0.73249817,56.099976
5.76651,-0.72950745,56.299927
5.799011,-0.746994,56.5
5.822998,-0.78500366,56.69995
5.846985,-0.82299805,56.899902
5.879486,-0.8424988,57.099976
5.9205017,-0.84350586,57.299927
5.961487,-0.8444977,57.5
5.9920044,-0.79299927,57.69995
6.0119934,-0.68899536,57.899902
6.0494995,-0.61950684,58.099976
6.104492,-0.5845032,58.299927
6.159485,-0.5494995,58.5
6.214508,-0.51449585,58.69995
6.2745056,-0.4850006,58.899902
6.339508,-0.46099854,59.099976
6.413513,-0.40550232,59.299927
6.4964905,-0.3184967,59.5
6.5794983,-0.23150635,59.69995
6.656494,-0.18049622,59.899902
6.7304993,-0.12649536,60.099976
6.796509,-0.029006958,60.299927
6.85849,0.07649231,60.5
6.923004,0.16600037,60.69995
6.9804993,0.2124939,60.899902
7.0400085,0.25050354,61.099976
7.0985107,0.28349304,61.299927
7.1474915,0.31100464,61.5
7.1870117,0.3560028,61.69995
7.2210083,0.4039917,61.899902
7.247986,0.44700623,62.099976
7.2680054,0.4850006,62.299927
7.2879944,0.522995,62.5
7.314514,0.53700256,62.69995
7.3475037,0.5269928,62.899902
7.380493,0.5169983,63.099976
7.411499,0.5,63.299927
7.4404907,0.47599792,63.5
7.4440002,0.46099854,63.69995
7.421997,0.45500183,63.899902
7.424988,0.44099426,64.099976
7.453003,0.41900635,64.29993
7.4809875,0.39700317,64.5
7.504486,0.37350464,64.69995
7.5234985,0.34849548,64.8999
7.546509,0.31599426,65.099976
7.5734863,0.27600098,65.29993
7.589508,0.26049805,65.5
7.594513,0.26950073,65.69995
7.5994873,0.27850342,65.8999
7.604492,0.2875061,66.099976
7.6130066,0.29849243,66.29993
7.625,0.31149292,66.5
7.640503,0.3294983,66.69995
7.6595154,0.3524933,66.8999
7.6784973,0.37550354,67.099976
7.6994934,0.39649963,67.29993
7.7225037,0.41549683,67.5
7.745514,0.43449402,67.69995
