x,y,z
-0.006500244,0.009506226,0.0579834
-0.019500732,0.028503418,0.1739502
-0.018005371,0.039505005,0.27697754
-0.0020141602,0.042495728,0.36694336
0.020996094,0.033493042,0.43603516
0.050994873,0.012496948,0.4840088
0.08099365,-0.0084991455,0.5319824
0.11099243,-0.02949524,0.57995605
0.14099121,-0.05050659,0.62805176
0.17001343,-0.069503784,0.680542
0.19799805,-0.086502075,0.7375488
0.22601318,-0.103500366,0.79455566
0.24850464,-0.116500854,0.8475342
0.26550293,-0.12550354,0.8964844
0.28250122,-0.13450623,0.94555664
0.2994995,-0.14349365,0.99450684
0.3164978,-0.15249634,1.043457
0.32250977,-0.15800476,1.098999
0.31750488,-0.16000366,1.1610107
0.3125,-0.16200256,1.2230225
0.30749512,-0.16400146,1.2850342
0.2869873,-0.1815033,1.3754883
0.25100708,-0.2144928,1.4945068
0.21499634,-0.24749756,1.6135254
0.1789856,-0.28050232,1.732544
0.13949585,-0.2955017,1.8404541
0.09649658,-0.29249573,1.9375
0.053497314,-0.289505,2.034546
0.005493164,-0.29800415,2.1490479
-0.04748535,-0.31799316,2.2810059
-0.100494385,-0.33799744,2.4129639
-0.15350342,-0.3580017,2.545044
-0.20651245,-0.37800598,2.677002
-0.25549316,-0.39900208,2.8029785
-0.3005066,-0.42100525,2.9229736
-0.3454895,-0.44299316,3.0429688
-0.39050293,-0.46499634,3.1629639
-0.4289856,-0.4900055,3.2750244
-0.46099854,-0.5180054,3.3790283
-0.49301147,-0.54600525,3.4830322
-0.5249939,-0.5740051,3.5870361
-0.55200195,-0.6069946,3.692505
-0.5740051,-0.6450043,3.7995605
-0.5924988,-0.6824951,3.9069824
-0.6075134,-0.7194977,4.0150146
-0.62249756,-0.75650024,4.123047
-0.6375122,-0.7935028,4.230957
-0.65249634,-0.8305054,4.3389893
-0.6659851,-0.8594971,4.438965
-0.67800903,-0.88049316,4.531006
-0.69000244,-0.9015045,4.623047
-0.70199585,-0.9225006,4.714966
-0.71398926,-0.9434967,4.807007
-0.7244873,-0.96299744,4.8830566
-0.73349,-0.9810028,4.942993
-0.7424927,-0.9989929,5.0030518
-0.75149536,-1.0169983,5.0629883
-0.76049805,-1.0350037,5.123047
-0.7745056,-1.0265045,5.1800537
-0.79348755,-0.99150085,5.234009
-0.8125,-0.9564972,5.287964
-0.8284912,-0.9095001,5.343506
-0.8414917,-0.8504944,5.4005127
-0.8544922,-0.7915039,5.4575195
-0.8674927,-0.73249817,5.5145264
-0.8859863,-0.68200684,5.585449
-0.91000366,-0.6399994,5.670532
-0.9339905,-0.5980072,5.755493
-0.95651245,-0.56199646,5.858032
-0.97750854,-0.5319977,5.9780273
-0.99850464,-0.5019989,6.0980225
-1.0195007,-0.47200012,6.2180176
-1.0404968,-0.44200134,6.3380127
-1.0599976,-0.40849304,6.4785156
-1.0780029,-0.37150574,6.6395264
-1.0960083,-0.33450317,6.800537
-1.1119995,-0.2915039,6.949951
-1.1260071,-0.24249268,7.0880127
-1.1474915,-0.2250061,7.2165527
-1.1765137,-0.23899841,7.335449
-1.2055054,-0.25300598,7.454468
-1.2460022,-0.24450684,7.5495605
-1.2980042,-0.21350098,7.6204834
-1.3179932,-0.19250488,7.704956
-1.3059998,-0.1815033,7.8029785
-1.292511,-0.19200134,7.889038
-1.2774963,-0.22399902,7.9630127
-1.2625122,-0.2559967,8.036987
-1.2365112,-0.2855072,8.069946
-1.1994934,-0.3125,8.062012
-1.1625061,-0.3394928,8.053955
-1.1254883,-0.36650085,8.0460205
-1.1164856,-0.3899994,8.040527
-1.135498,-0.41000366,8.037476
-1.1545105,-0.42999268,8.034546
-1.1734924,-0.44999695,8.031494
-1.1925049,-0.45199585,8.083008
-1.2080078,-0.40600586,8.187988
-1.2260132,-0.34150696,8.311523
-1.2569885,-0.3105011,8.462036
-1.292511,-0.33000183,8.609497
-1.3255005,-0.37800598,8.74646
-1.35849,-0.42599487,8.883545
-1.39151,-0.47399902,9.020508
-1.4244995,-0.5220032,9.157471
-1.4475098,-0.5805054,9.278442
-1.4605103,-0.6495056,9.383545
-1.4735107,-0.71850586,9.488525
-1.480011,-0.7709961,9.567505
-1.480011,-0.80700684,9.620483
-1.480011,-0.8430023,9.673462
-1.4735107,-0.86849976,9.708984
-1.4605103,-0.88349915,9.727051
-1.4475098,-0.89849854,9.744995
-1.446991,-0.87350464,9.74646
-1.4590149,-0.8085022,9.731445
-1.4794922,-0.7615051,9.781006
-1.5079956,-0.7424927,9.915039
-1.5314941,-0.75849915,10.06604
-1.5505066,-0.7994995,10.213989
-1.5679932,-0.8365021,10.352051
-1.5840149,-0.86950684,10.47998
-1.6054993,-0.8880005,10.602539
-1.6325073,-0.8919983,10.719482
-1.6549988,-0.8674927,10.8289795
-1.6730042,-0.8144989,10.93103
-1.6910095,-0.7615051,11.032959
-1.6950073,-0.69299316,11.120972
-1.6849976,-0.60899353,11.194946
-1.6700134,-0.55400085,11.25
-1.660492,-0.53900146,11.27356
-1.661499,-0.53500366,11.284546
-1.6845093,-0.53300476,11.3585205
-1.7294922,-0.53300476,11.495483
-1.7745056,-0.53300476,11.632446
-1.8194885,-0.53300476,11.769531
-1.875,-0.54299927,11.93396
-1.9410095,-0.56300354,12.125977
-2.0069885,-0.5830078,12.317993
-2.072998,-0.6029968,12.51001
-2.1390076,-0.6230011,12.702026
-2.2049866,-0.6430054,12.894043
-2.2590027,-0.6934967,13.0625
-2.3009949,-0.7745056,13.20752
-2.342987,-0.85549927,13.352539
-2.369995,-0.92900085,13.462524
-2.3819885,-0.9949951,13.537476
-2.3940125,-1.0610046,13.612549
-2.3955078,-1.1184998,13.658447
-2.3865051,-1.1674957,13.675537
-2.380005,-1.1920013,13.705444
-2.3919983,-1.1605072,13.752441
-2.4169922,-1.1365051,13.855957
-2.441986,-1.1600037,13.995483
-2.4760132,-1.2220001,14.11499
-2.5245056,-1.2740021,14.244995
-2.566986,-1.2749939,14.378052
-2.5950012,-1.2649994,14.5
-2.6229858,-1.2550049,14.621948
-2.651001,-1.2449951,14.744019
-2.6690063,-1.2319946,14.840454
-2.677002,-1.2160034,14.911499
-2.6849976,-1.199997,14.982544
-2.688507,-1.2019958,15.0720215
-2.6875,-1.2220001,15.180054
-2.686493,-1.2420044,15.287964
-2.6820068,-1.2570038,15.382446
-2.6740112,-1.2669983,15.463501
-2.665985,-1.277008,15.544556
-2.6535034,-1.289505,15.625488
-2.6365051,-1.3045044,15.706543
-2.614502,-1.3190002,15.778442
-2.587494,-1.3330078,15.841553
-2.5555115,-1.3475037,15.8914795
-2.5195007,-1.3585052,15.916504
-2.484497,-1.3654938,15.929443
-2.4494934,-1.3724976,15.942505
-2.4305115,-1.364502,15.95752
-2.4274902,-1.341507,15.974487
-2.4244995,-1.3184967,15.991455
-2.4215088,-1.2955017,16.008545
-2.4389954,-1.2870026,16.090942
-2.4769897,-1.2929993,16.239014
-2.5149841,-1.298996,16.386963
-2.553009,-1.3125,16.544556
-2.5910034,-1.3334961,16.711548
-2.6289978,-1.3545074,16.87854
-2.6600037,-1.3744965,17.037476
-2.6839905,-1.3934937,17.188477
-2.7080078,-1.4125061,17.339478
-2.7325134,-1.440506,17.484497
-2.7575073,-1.4774933,17.623535
-2.7825012,-1.5144958,17.762451
-2.807495,-1.5554962,17.896973
-2.832489,-1.6004944,18.026978
-2.8575134,-1.6455078,18.156982
-2.8785095,-1.675003,18.27246
-2.8955078,-1.6889954,18.373535
-2.912506,-1.7030029,18.474487
-2.9265137,-1.7109985,18.578003
-2.9375,-1.7129974,18.68396
-2.9484863,-1.7149963,18.79004
-2.9534912,-1.7124939,18.889526
-2.9525146,-1.7055054,18.982544
-2.9444885,-1.710495,19.065552
-2.9295044,-1.7274933,19.13855
-2.9144897,-1.7445068,19.211548
-2.8995056,-1.7615051,19.284546
-2.8789978,-1.7740021,19.34497
-2.8529968,-1.7819977,19.392944
-2.8250122,-1.7859955,19.436035
-2.7950134,-1.7859955,19.473999
-2.7650146,-1.7859955,19.511963
-2.7349854,-1.7859955,19.550049
-2.7070007,-1.776001,19.595459
-2.6809998,-1.7559967,19.64856
-2.6600037,-1.7389984,19.707031
-2.6440125,-1.7250061,19.770996
-2.6279907,-1.7109985,19.83496
-2.6210022,-1.6835022,19.908447
-2.6229858,-1.6425018,19.991455
-2.625,-1.6015015,20.074463
-2.6440125,-1.585495,20.202515
-2.6799927,-1.5944977,20.375488
-2.7160034,-1.6035004,20.548462
-2.7539978,-1.6560059,20.712036
-2.7940063,-1.7519989,20.865967
-2.8339844,-1.8480072,21.02002
-2.8745117,-1.9105072,21.179443
-2.9154968,-1.9394989,21.344482
-2.9565125,-1.9685059,21.509521
