x,y,z
-0.015014648,0.058502197,0.052978516
-0.039489746,0.17149353,0.119018555
-0.03048706,0.2579956,0.10949707
0.006500244,0.32200623,0.064453125
0.04348755,0.3860016,0.01953125
0.06600952,0.4394989,-0.05053711
0.0025024414,0.45350647,-0.10095215
-0.16500854,0.45399475,-0.0040283203
-0.36499023,0.47000122,0.19604492
-0.56500244,0.48599243,0.3959961
-0.76501465,0.5019989,0.59594727
-0.96499634,0.5180054,0.7960205
-1.1419983,0.49850464,0.9959717
-1.29599,0.4434967,1.1960449
-1.4500122,0.38850403,1.3959961
-1.6040039,0.3334961,1.5959473
-1.7579956,0.27850342,1.7960205
-1.8940125,0.25050354,1.9959717
-2.0119934,0.24949646,2.196045
-2.130005,0.24850464,2.395996
-2.2479858,0.24749756,2.5959473
-2.3599854,0.21850586,2.7790527
-2.453003,0.1459961,2.894043
-2.5329895,0.057998657,2.9580078
-2.6130066,-0.02999878,3.0219727
-2.6929932,-0.117996216,3.0860596
-2.7730103,-0.20599365,3.1500244
-2.8299866,-0.29649353,3.1765137
-2.8640137,-0.38949585,3.1655273
-2.8980103,-0.48249817,3.154541
-2.9320068,-0.5755005,3.1435547
-2.9660034,-0.6685028,3.1324463
-3.0,-0.7615051,3.12146
-3.0314941,-0.82650757,3.12146
-3.0604858,-0.8634949,3.1324463
-3.089508,-0.90049744,3.1435547
-3.1184998,-0.9375,3.154541
-3.1474915,-0.97450256,3.1655273
-3.2114868,-0.9949951,3.2590332
-3.3104858,-0.9989929,3.4350586
-3.4094849,-1.003006,3.610962
-3.5085144,-1.0070038,3.7869873
-3.6075134,-1.0110016,3.9630127
-3.7065125,-1.0149994,4.139038
-3.8234863,-0.99949646,4.25354
-3.958496,-0.9644928,4.3065186
-4.093506,-0.9295044,4.359497
-4.228485,-0.89450073,4.4124756
-4.363495,-0.8594971,4.465454
-4.463501,-0.74650574,4.592041
-4.5285034,-0.5554962,4.791992
-4.593506,-0.36450195,4.9919434
-4.6585083,-0.17350769,5.1920166
-4.7235107,0.017501831,5.391968
-4.788513,0.2084961,5.592041
-4.853485,0.39950562,5.791992
-4.902008,0.5890045,5.977051
-4.9339905,0.7769928,6.1469727
-4.9660034,0.96499634,6.3170166
-4.997986,1.1529999,6.4869385
-5.027008,1.3150024,6.625
-5.053009,1.451004,6.730957
-5.07901,1.5870056,6.837036
-5.105011,1.7230072,6.942993
-5.131012,1.8589935,7.04895
-5.153015,1.9850006,7.126953
-5.17099,2.100998,7.177002
-5.1889954,2.2169952,7.227051
-5.2070007,2.3330078,7.2769775
-5.225006,2.4490051,7.3270264
-5.2235107,2.5484924,7.3430176
-5.2025146,2.6315002,7.324951
-5.181488,2.7144928,7.307007
-5.160492,2.7975006,7.2889404
-5.139496,2.8804932,7.270996
-5.1075134,2.9524994,7.230957
-5.1214905,3.0039978,7.175537
-5.192505,3.0460052,7.126465
-5.263489,3.0879974,7.0775146
-5.398987,3.126007,7.0689697
-5.598999,3.1600037,7.100952
-5.799011,3.1940002,7.1330566
-5.998993,3.2279968,7.165039
-6.199005,3.2619934,7.1970215
-6.398987,3.2960052,7.229004
-6.598999,3.3224945,7.3449707
-6.799011,3.341507,7.545044
-6.998993,3.3605042,7.744995
-7.199005,3.3795013,7.9449463
-7.398987,3.3984985,8.14502
-7.5595093,3.4080048,8.344971
-7.6805115,3.4080048,8.545044
-7.8015137,3.4080048,8.744995
-7.9224854,3.4080048,8.944946
-8.031006,3.4210052,9.126465
-8.126984,3.4470062,9.289551
-8.222992,3.4730072,9.452515
-8.305511,3.473999,9.573486
-8.374512,3.449997,9.652466
-8.443512,3.4259949,9.731445
-8.512512,3.4019928,9.810547
-8.581512,3.378006,9.889526
-8.6285095,3.3390045,9.946045
-8.653503,3.2850037,9.97998
-8.678497,3.2310028,10.014038
-8.6910095,3.1620026,10.04248
-8.6910095,3.078003,10.065552
-8.6910095,2.9940033,10.088501
-8.699493,2.942505,10.105469
-8.741486,2.939499,10.145996
-8.808502,2.9524994,10.215942
-8.875488,2.9654999,10.286011
-8.957489,3.020996,10.360962
-9.054504,3.1190033,10.44104
-9.151489,3.2169952,10.520996
-9.248505,3.3150024,10.600952
-9.3454895,3.4129944,10.68103
-9.442505,3.5110016,10.760986
-9.524994,3.6130066,10.892944
-9.592987,3.7189941,11.077026
-9.661011,3.824997,11.260986
-9.729004,3.9309998,11.444946
-9.796997,4.0370026,11.629028
-9.850494,4.1900024,11.805054
-9.889496,4.3899994,11.973022
-9.928497,4.5899963,12.140991
-9.967499,4.7899933,12.30896
-10.0065,4.9900055,12.477051
-10.045502,5.1900024,12.64502
-10.084503,5.3899994,12.812988
-10.117004,5.5484924,12.941528
-10.143005,5.665497,13.030518
-10.169006,5.782501,13.119507
-10.195007,5.8995056,13.208496
-10.215485,6.0119934,13.285522
-10.230499,6.119995,13.350464
-10.245483,6.227997,13.415527
-10.260498,6.3359985,13.480469
-10.275482,6.4440002,13.545532
-10.290497,6.552002,13.610474
-10.305511,6.6600037,13.675537
-10.3089905,6.7494965,13.723999
-10.300995,6.8204956,13.755981
-10.292999,6.8914948,13.787964
-10.285004,6.962494,13.819946
-10.264984,7.0184937,13.841553
-10.233002,7.059494,13.852539
-10.200989,7.1004944,13.863525
-10.169006,7.1414948,13.874512
-10.136993,7.182495,13.885498
-10.10498,7.2234955,13.896484
-10.084503,7.255493,13.912476
-10.0755005,7.2785034,13.933472
-10.066498,7.3014984,13.954468
-10.057495,7.3244934,13.975464
-10.048492,7.3475037,13.99646
-10.063477,7.345001,14.057983
-10.102478,7.3170013,14.160034
-10.1414795,7.2890015,14.261963
-10.180481,7.2610016,14.364014
-10.213501,7.234497,14.470459
-10.2404785,7.209503,14.581543
-10.267487,7.184494,14.692505
-10.294495,7.1595,14.803467
-10.321503,7.134506,14.914551
-10.349487,7.110504,15.0
-10.378479,7.087494,15.060059
-10.407501,7.064499,15.119995
-10.436493,7.041504,15.180054
-10.475494,7.0350037,15.257446
-10.524506,7.044998,15.352539
-10.573486,7.0549927,15.44751
-10.622498,7.0650024,15.54248
-10.671478,7.074997,15.637451
-10.723999,7.0789948,15.739014
-10.779999,7.076996,15.847046
-10.835999,7.074997,15.954956
-10.891998,7.072998,16.062988
-10.946503,7.083008,16.168945
-10.999481,7.1049957,16.27295
-11.05249,7.126999,16.376953
-11.105499,7.149002,16.480957
-11.158478,7.1710052,16.58496
-11.219482,7.1909943,16.706055
-11.288483,7.2089996,16.843994
-11.357483,7.227005,16.982056
-11.426483,7.244995,17.119995
-11.495483,7.2630005,17.258057
-11.561493,7.2714996,17.390991
-11.624481,7.270508,17.519043
-11.6875,7.2695007,17.646973
-11.750488,7.2684937,17.775024
-11.808502,7.272003,17.900024
-11.861481,7.279999,18.021973
-11.91449,7.2879944,18.144043
-11.967499,7.2960052,18.265991
-12.020477,7.304001,18.388062
-12.073486,7.3119965,18.51001
-12.118988,7.3125,18.621948
-12.156982,7.305496,18.723999
-12.195007,7.2985077,18.82605
-12.233002,7.291504,18.927979
-12.270996,7.2845,19.03003
-12.302002,7.261505,19.125
-12.325989,7.2225037,19.213013
-12.350006,7.183502,19.301025
-12.373993,7.1445007,19.389038
-12.39801,7.1054993,19.47705
-12.421997,7.066498,19.565063
-12.445984,7.0274963,19.652954
-12.4670105,6.992996,19.728027
-12.484985,6.9629974,19.79004
-12.502991,6.9329987,19.85205
-12.520996,6.903,19.914062
-12.528503,6.8934937,19.956055
-12.525482,6.9044952,19.978027
-12.522491,6.915497,20.0
-12.519501,6.9264984,20.021973
-12.5164795,6.9375,20.044067
-12.513489,6.9485016,20.06604
-12.510498,6.959503,20.088013
-12.507477,6.984009,20.126465
-12.504486,7.022003,20.181519
-12.501495,7.0599976,20.23645
-12.498474,7.098007,20.291504
-12.503998,7.137497,20.35498
-12.517975,7.1784973,20.427002
