x,y,z
-0.017486572,-0.04949951,0.02746582
-0.052490234,-0.14849854,0.08251953
-0.0874939,-0.24749756,0.13745117
-0.10998535,-0.32200623,0.16345215
-0.11999512,-0.37199402,0.16052246
-0.13000488,-0.42199707,0.1574707
-0.16101074,-0.43200684,0.20654297
-0.2130127,-0.4019928,0.30749512
-0.26501465,-0.37199402,0.40844727
-0.2955017,-0.35150146,0.49902344
-0.3045044,-0.34049988,0.5789795
-0.31350708,-0.3294983,0.6590576
-0.32250977,-0.3184967,0.7390137
-0.32598877,-0.32099915,0.83044434
-0.32400513,-0.33700562,0.9334717
-0.32199097,-0.35299683,1.036499
-0.32000732,-0.3690033,1.1395264
-0.32199097,-0.37550354,1.2910156
-0.32800293,-0.37249756,1.4909668
-0.3340149,-0.36950684,1.69104
-0.33999634,-0.36650085,1.8909912
-0.3460083,-0.36349487,2.0909424
-0.34451294,-0.33700562,2.2735596
-0.33551025,-0.28700256,2.4384766
-0.32650757,-0.23699951,2.6035156
-0.31750488,-0.18699646,2.7685547
-0.3085022,-0.13699341,2.9334717
-0.28250122,-0.084503174,3.0715332
-0.23950195,-0.02949524,3.182495
-0.19650269,0.025497437,3.293457
-0.14801025,0.09300232,3.3394775
-0.09399414,0.17300415,3.3205566
-0.037994385,0.227005,3.3330078
0.019989014,0.25500488,3.3769531
0.07800293,0.28300476,3.4210205
0.13598633,0.31100464,3.4649658
0.19650269,0.3374939,3.488037
0.25949097,0.36250305,3.4899902
0.32250977,0.38749695,3.4919434
0.38549805,0.4125061,3.4940186
0.43499756,0.44450378,3.5054932
0.4710083,0.48350525,3.5264893
0.5069885,0.5225067,3.5474854
0.54299927,0.5614929,3.5684814
0.5660095,0.5780029,3.6104736
0.57598877,0.5720062,3.673462
0.58599854,0.56599426,3.7364502
0.5960083,0.55999756,3.7995605
0.58950806,0.56500244,3.8990479
0.5585022,0.5755005,4.048462
0.51950073,0.5805054,4.211548
