x,y,z
-0.015014648,0.014007568,0.04748535
-0.045013428,0.042007446,0.14245605
-0.07348633,0.070007324,0.23449707
-0.100494385,0.0980072,0.32348633
-0.12750244,0.12600708,0.4124756
-0.15301514,0.15449524,0.49902344
-0.17700195,0.1835022,0.5830078
-0.20098877,0.2124939,0.6669922
-0.22601318,0.24699402,0.7669678
-0.25201416,0.28700256,0.88305664
-0.27801514,0.32699585,0.99902344
-0.30700684,0.37950134,1.0939941
-0.33898926,0.44450378,1.1679688
-0.3710022,0.5095062,1.2419434
-0.40301514,0.5744934,1.31604
-0.4289856,0.6365051,1.3900146
-0.44900513,0.6954956,1.4639893
-0.46899414,0.75450134,1.5379639
-0.4840088,0.8184967,1.605957
-0.49398804,0.88749695,1.6679688
-0.5039978,0.9564972,1.7299805
-0.51400757,1.0254974,1.7919922
-0.5209961,1.0935059,1.8580322
-0.5249939,1.1605072,1.9279785
-0.5289917,1.2274933,1.9980469
-0.5329895,1.2944946,2.0679932
-0.5404968,1.3704987,2.1359863
-0.5515137,1.4555054,2.2020264
-0.5625,1.5404968,2.2679443
-0.5740051,1.6260071,2.328003
-0.58499146,1.7064972,2.3874512
-0.5950012,1.7814941,2.4525146
-0.605011,1.8565063,2.517456
-0.61499023,1.9315033,2.5825195
-0.62298584,2.0025024,2.6429443
-0.63101196,2.0625,2.7080078
-0.6409912,2.1154938,2.7819824
-0.651001,2.1685028,2.855957
-0.66101074,2.2214966,2.9300537
-0.67300415,2.2695007,3.0195312
-0.6870117,2.3125,3.1245117
-0.70098877,2.3554993,3.2294922
-0.71798706,2.4029999,3.3149414
-0.7380066,2.4550018,3.3809814
-0.7579956,2.5070038,3.4470215
-0.7779846,2.5590057,3.5130615
-0.79800415,2.6109924,3.5789795
-0.8120117,2.666504,3.636963
-0.8200073,2.7254944,3.6870117
-0.8280029,2.7845001,3.7370605
-0.83551025,2.8399963,3.8065186
-0.8424988,2.8919983,3.8955078
-0.8494873,2.9440002,3.984497
-0.8580017,2.9839935,4.071533
-0.8680115,3.0119934,4.156494
-0.8779907,3.0399933,4.241455
-0.8880005,3.0679932,4.326538
-0.89801025,3.095993,4.411499
-0.911499,3.1190033,4.5
-0.9284973,3.1369934,4.592041
-0.9454956,3.1549988,4.68396
-0.9654846,3.171997,4.7945557
-0.9884949,3.1880035,4.923462
-1.0115051,3.2039948,5.05249
-1.0344849,3.2200012,5.1815186
-1.0494995,3.2285004,5.3060303
-1.056488,3.2294922,5.4260254
-1.0635071,3.2304993,5.5460205
-1.0704956,3.231491,5.6660156
-1.0794983,3.223999,5.7630615
-1.0904846,3.2079926,5.837036
-1.1015015,3.1920013,5.9110107
-1.1124878,3.1759949,5.9849854
-1.1220093,3.1640015,6.0649414
-1.1300049,3.1559906,6.151001
-1.1380005,3.147995,6.2370605
-1.1539917,3.123001,6.3360596
-1.1755066,3.0924988,6.438965
-1.1944885,3.0735016,6.532959
-1.213501,3.0545044,6.626953
-1.2340088,3.0390015,6.7249756
-1.256012,3.0269928,6.8270264
-1.2780151,3.0149994,6.928955
-1.3005066,3.005005,7.0290527
-1.3234863,2.996994,7.126953
-1.3464966,2.9889984,7.2249756
-1.3695068,2.9810028,7.322998
-1.3924866,2.972992,7.4210205
-1.4150085,2.9629974,7.516968
-1.4370117,2.951004,7.610962
-1.4590149,2.9389954,7.704956
-1.4804993,2.9274902,7.7929688
-1.5014954,2.916504,7.875
-1.5224915,2.9055023,7.9570312
-1.5434875,2.8945007,8.0390625
-1.5645142,2.8834991,8.120972
-1.5859985,2.869995,8.208984
-1.6080017,2.854004,8.3029785
-1.6300049,2.8379974,8.396973
-1.6530151,2.8224945,8.490967
-1.677002,2.807495,8.584961
-1.6990051,2.7964935,8.677002
-1.7189941,2.7894897,8.766968
-1.739502,2.7805023,8.86145
-1.760498,2.7695007,8.960449
-1.7814941,2.7584991,9.059448
-1.8024902,2.7474976,9.158447
-1.8234863,2.736496,9.257446
-1.8460083,2.7279968,9.36145
-1.8699951,2.7220001,9.470459
-1.8919983,2.7164917,9.571533
-1.9119873,2.711502,9.664551
-1.9320068,2.7064972,9.757446
-1.9515076,2.7014923,9.848511
-1.9704895,2.6965027,9.9375
-1.989502,2.6914978,10.026489
-2.0100098,2.6779938,10.121948
-2.032013,2.6559906,10.223999
-2.054016,2.6340027,10.32605
-2.078003,2.6194916,10.430054
-2.104004,2.612503,10.536011
-2.130005,2.6054993,10.641968
-2.14151,2.6015015,10.718994
-2.1384888,2.6004944,10.766968
-2.135498,2.5995026,10.814941
