x,y,z,color
0.002258301,-1.07E-04,0.0078125,0
0.006744385,-3.05E-04,0.02355957,0
0.011260986,-5.04E-04,0.03930664,0
0.01574707,-7.02E-04,0.05493164,0
0.018859863,-0.001693726,0.06713867,0
0.02053833,-0.003494263,0.075683594,0
0.022247314,-0.0052948,0.084350586,0
0.023956299,-0.007095337,0.09289551,0
0.025634766,-0.008895874,0.10144043,0
0.02734375,-0.010696411,0.11010742,0
0.02835083,-0.012802124,0.1171875,0
0.028656006,-0.015197754,0.122680664,0
0.027954102,-0.0184021,0.12805176,0
0.026245117,-0.022399902,0.13317871,0
0.02279663,-0.027252197,0.13830566,0
0.017608643,-0.032943726,0.14318848,0
0.012390137,-0.038650513,0.14807129,0
0.007202148,-0.0443573,0.1529541,0
0.00201416,-0.050048828,0.15783691,0
-0.003204346,-0.055755615,0.16271973,0
-0.008392334,-0.061447144,0.16760254,0
-0.016052246,-0.06695557,0.17370605,0
-0.026153564,-0.072250366,0.1809082,0
-0.036254883,-0.077545166,0.18811035,0
-0.0463562,-0.082855225,0.1953125,0
-0.05633545,-0.0874939,0.20605469,0
-0.06625366,-0.09150696,0.22033691,0
-0.07614136,-0.09550476,0.23461914,0
-0.08605957,-0.09950256,0.24890137,0
-0.095947266,-0.103500366,0.26330566,0
-0.10583496,-0.10749817,0.2775879,0
-0.11645508,-0.110946655,0.2919922,0
-0.12774658,-0.113845825,0.3067627,0
-0.13903809,-0.116744995,0.32141113,0
-0.1503601,-0.119644165,0.33618164,0
-0.16165161,-0.122543335,0.35083008,0
-0.17404175,-0.12519836,0.3647461,0
-0.18756104,-0.127594,0.37805176,0
-0.2010498,-0.13000488,0.39123535,0
-0.21466064,-0.13209534,0.40478516,0
-0.22836304,-0.13389587,0.41882324,0
-0.24203491,-0.13569641,0.43273926,0
-0.2557373,-0.13749695,0.44677734,0
-0.26901245,-0.13909912,0.45996094,0
-0.28179932,-0.14050293,0.4720459,0
-0.2937622,-0.14149475,0.4819336,0
-0.3048401,-0.1421051,0.4892578,0
-0.3159485,-0.1427002,0.4967041,0
-0.32705688,-0.14329529,0.5041504,0
-0.33813477,-0.14390564,0.5114746,0
-0.3467102,-0.14445496,0.5185547,0
-0.35269165,-0.14494324,0.5253906,0
-0.3587036,-0.14544678,0.53222656,0
-0.36468506,-0.14595032,0.5389404,0
-0.37069702,-0.14645386,0.54577637,0
-0.37670898,-0.14720154,0.55163574,0
-0.38269043,-0.14819336,0.5563965,0
-0.3887024,-0.14920044,0.5611572,0
-0.39471436,-0.15020752,0.56604004,0
-0.39996338,-0.15344238,0.5710449,0
-0.40444946,-0.1589508,0.5761719,0
-0.40893555,-0.16444397,0.5814209,0
-0.41345215,-0.1699524,0.58654785,0
-0.41793823,-0.17544556,0.5917969,0
-0.42245483,-0.18095398,0.5970459,0
-0.4248352,-0.1875,0.60583496,0
-0.42514038,-0.19509888,0.6184082,0
-0.42544556,-0.20269775,0.6308594,0
-0.42575073,-0.21029663,0.64331055,0
-0.4260559,-0.21789551,0.6558838,0
-0.42700195,-0.22445679,0.6697998,0
-0.42858887,-0.22994995,0.68518066,0
-0.4302063,-0.23544312,0.7005615,0
-0.4317932,-0.24095154,0.7159424,0
-0.43341064,-0.2464447,0.7314453,0
-0.4343567,-0.25169373,0.7491455,0
-0.43466187,-0.2566986,0.76904297,0
-0.43493652,-0.2617035,0.7890625,0
-0.4352417,-0.26669312,0.80908203,0
-0.43554688,-0.271698,0.82910156,0
-0.43466187,-0.27545166,0.8491211,0
-0.43255615,-0.2779541,0.8691406,0
-0.43045044,-0.28045654,0.88916016,0
-0.42834473,-0.28294373,0.9090576,0
-0.42559814,-0.28474426,0.9283447,0
-0.4222107,-0.2858429,0.9466553,0
-0.41879272,-0.2869568,0.9650879,0
-0.41540527,-0.28805542,0.9835205,0
-0.4119873,-0.28915405,1.0019531,0
-0.40838623,-0.29034424,1.0198975,0
-0.40460205,-0.2916565,1.0375977,0
-0.40078735,-0.2929535,1.0552979,0
-0.39700317,-0.2942505,1.072998,0
-0.39318848,-0.29580688,1.088501,0
-0.3894043,-0.29760742,1.1018066,0
-0.3855896,-0.2993927,1.1151123,0
-0.38180542,-0.30119324,1.128418,0
-0.37799072,-0.30299377,1.1417236,0
-0.37420654,-0.3047943,1.1550293,0
-0.3710022,-0.3070984,1.1663818,0
-0.3684082,-0.309906,1.1757812,0
-0.3658142,-0.31269836,1.1851807,0
-0.3631897,-0.31550598,1.1945801,0
-0.3623352,-0.3191986,1.2020264,0
-0.36325073,-0.32380676,1.2073975,0
-0.36413574,-0.32839966,1.2127686,0
-0.36505127,-0.33299255,1.2181396,0
-0.36593628,-0.3376007,1.2236328,0
-0.3668518,-0.3421936,1.2290039,0
-0.36889648,-0.3475952,1.2337646,0
-0.37210083,-0.35380554,1.2380371,0
-0.37530518,-0.3600006,1.2421875,0
-0.37850952,-0.36619568,1.2463379,0
-0.38171387,-0.372406,1.2506104,0
-0.3880005,-0.3789978,1.2550049,0
-0.3973999,-0.3860016,1.2593994,0
-0.40679932,-0.39300537,1.263916,0
-0.41619873,-0.3999939,1.2684326,0
-0.42559814,-0.40699768,1.2729492,0
-0.43655396,-0.41325378,1.2799072,0
-0.44903564,-0.41874695,1.2894287,0
-0.46154785,-0.42425537,1.2989502,0
-0.47406006,-0.42974854,1.3084717,0
-0.48623657,-0.43460083,1.3200684,0
-0.49813843,-0.438797,1.3337402,0
-0.5100403,-0.44299316,1.3474121,0
-0.52194214,-0.4472046,1.361206,0
-0.533844,-0.45140076,1.3748779,0
-0.5456848,-0.45480347,1.3892822,0
-0.5574951,-0.45739746,1.4042969,0
-0.5693054,-0.4600067,1.4194336,0
-0.5810852,-0.4626007,1.4345703,0
-0.5928955,-0.4651947,1.449707,0
-0.6047058,-0.46780396,1.4647217,0
-0.61654663,-0.46949768,1.4780273,0
-0.6284485,-0.4703064,1.489502,0
-0.64035034,-0.47109985,1.5010986,0
-0.6522522,-0.4718933,1.5125732,0
-0.66415405,-0.47270203,1.5240479,0
-0.6759949,-0.4733429,1.536499,0
-0.6878052,-0.47384644,1.5498047,0
-0.69958496,-0.47434998,1.5629883,0
-0.71139526,-0.47485352,1.576294,0
-0.72320557,-0.47535706,1.5895996,0
-0.73498535,-0.47584534,1.6029053,0
-0.74679565,-0.47634888,1.6162109,0
-0.7591858,-0.47659302,1.6276855,0
-0.7721863,-0.47659302,1.6373291,0
-0.78518677,-0.47659302,1.6468506,0
-0.79818726,-0.47659302,1.6564941,0
-0.8092041,-0.4764557,1.6662598,0
-0.8182068,-0.4761505,1.6762695,0
-0.8272095,-0.47584534,1.6862793,0
-0.83621216,-0.47555542,1.6962891,0
-0.84521484,-0.47525024,1.7062988,0
-0.854187,-0.47494507,1.7163086,0
-0.862854,-0.4750061,1.7247314,0
-0.8711548,-0.47540283,1.7314453,0
-0.87945557,-0.47579956,1.7382812,0
-0.88775635,-0.4761963,1.7451172,0
-0.8947449,-0.4780426,1.7503662,0
-0.90045166,-0.48135376,1.7540283,0
-0.90615845,-0.48464966,1.7576904,0
-0.9118347,-0.48794556,1.7614746,0
-0.9175415,-0.4912567,1.7651367,0
-0.9213562,-0.4967041,1.7709961,0
-0.9232483,-0.504303,1.7790527,0
-0.9251404,-0.51190186,1.7869873,0
-0.9259033,-0.5189972,1.7982178,0
-0.9255066,-0.52560425,1.8127441,0
-0.92510986,-0.53219604,1.8272705,0
-0.92471313,-0.5388031,1.8417969,0
